customer_number,customer_store,salesline,article_identifier,article_identifier_type,cip_store,exclusive_cip,all_variants,all_bundles,cip_value,cip_type,from_date,to_date,cip_reason_type,cip_reason_detail
721883,5,FSD,1421710,SUBSYS,86,TRUE,TRUE,TRUE,25,DISCOUNT_PERCENTAGE,2026-01-28,2026-03-31,CLOSE_A_DEAL,
721883,5,FSD,1230337,SUBSYS,86,TRUE,TRUE,TRUE,22,DISCOUNT_PERCENTAGE,2026-01-28,2026-03-31,CLOSE_A_DEAL,
721883,5,FSD,3175822,SUBSYS,86,TRUE,TRUE,TRUE,12,DISCOUNT_PERCENTAGE,2026-01-28,2026-03-31,CLOSE_A_DEAL,
721883,5,FSD,2448797,SUBSYS,86,TRUE,TRUE,TRUE,13,DISCOUNT_PERCENTAGE,2026-01-28,2026-03-31,CLOSE_A_DEAL,
721883,5,FSD,3119415,SUBSYS,86,TRUE,TRUE,TRUE,25,DISCOUNT_PERCENTAGE,2026-01-28,2026-03-31,CLOSE_A_DEAL,
721883,5,FSD,2322866,SUBSYS,86,TRUE,TRUE,TRUE,30,DISCOUNT_PERCENTAGE,2026-01-28,2026-03-31,CLOSE_A_DEAL,
721883,5,FSD,1482218,SUBSYS,86,TRUE,TRUE,TRUE,10,DISCOUNT_PERCENTAGE,2026-01-28,2026-03-31,CLOSE_A_DEAL,
721883,5,FSD,2094430,SUBSYS,86,TRUE,TRUE,TRUE,20,DISCOUNT_PERCENTAGE,2026-01-28,2026-03-31,CLOSE_A_DEAL,
721883,5,FSD,2052401,SUBSYS,86,TRUE,TRUE,TRUE,45,DISCOUNT_PERCENTAGE,2026-01-28,2026-03-31,CLOSE_A_DEAL,
721883,5,FSD,1607450,SUBSYS,86,TRUE,TRUE,TRUE,17,DISCOUNT_PERCENTAGE,2026-01-28,2026-03-31,CLOSE_A_DEAL,
